location,size,total_sqft,bath,price,BHK
Basavangudi,3 BHK,2350.0,3.0,300.0,3.0
Uttarahalli,2 BHK,1050.0,2.0,42.0,2.0
Raja Rajeshwari Nagar,2 BHK,1270.0,2.0,62.0,2.0
9th Phase JP Nagar,3 BHK,1240.0,2.0,39.89,3.0
Jigani,3 BHK,1221.0,3.0,70.0,3.0
Hoysalanagar,3 BHK,840.0,2.0,35.0,3.0
Kanakpura Road,2 BHK,1339.0,2.0,63.0,2.0
Thigalarapalya,4 BHK,4303.0,5.0,300.0,4.0
Haralur Road,2 BHK,1315.0,2.0,85.0,2.0
Raja Rajeshwari Nagar,2 BHK,1250.0,2.0,68.0,2.0
Bisuvanahalli,2 BHK,850.0,2.0,27.0,2.0
7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3.0
Electronic City,2 BHK,1250.0,2.0,62.0,2.0
Motappa Layout,3 BHK,1312.0,2.0,56.5,3.0
Kadugodi,4 BHK,3000.0,4.0,134.0,4.0
Electronic City Phase II,2 BHK,1300.0,2.0,28.0,2.0
Whitefield,3 BHK,1990.0,3.0,98.0,3.0
Medahalli,2 BHK,760.0,2.0,38.5,2.0
Ambedkar Nagar,4 Bedroom,5000.0,4.0,536.0,4.0
Kadugodi,3 BHK,1614.0,2.0,59.0,3.0
Judicial Layout,4 Bedroom,1500.0,3.0,162.0,4.0
Basava Nagar,3 BHK,1182.0,2.0,60.1,3.0
Avalahalli,2 BHK,1053.0,2.0,46.29,2.0
6th Phase JP Nagar,1 BHK,750.0,1.0,105.0,1.0
Gubbalala,3 BHK,2000.0,3.0,125.0,3.0
Electronic City Phase II,3 BHK,1940.0,4.0,116.0,3.0
Hennur Road,3 BHK,1590.0,3.0,105.0,3.0
Chennammana Kere,2 BHK,1035.0,2.0,52.79,2.0
Kothanur,2 BHK,1075.0,2.0,53.0,2.0
TC Palaya,2 Bedroom,900.0,2.0,55.0,2.0
Raja Rajeshwari Nagar,3 BHK,1260.0,2.0,62.0,3.0
Prashanth Nagar,6 Bedroom,1200.0,5.0,260.0,6.0
Thanisandra,3 BHK,1702.0,3.0,107.0,3.0
Bisuvanahalli,3 BHK,1080.0,2.0,65.0,3.0
Kasavanhalli,2 BHK,1189.0,2.0,45.0,2.0
Tumkur Road,2 BHK,1035.0,2.0,39.0,2.0
Hennur Road,2 BHK,1200.0,2.0,36.0,2.0
Mahalakshmi Layout,8 Bedroom,4482.0,6.0,852.0,8.0
Michael Palaya,3 Bedroom,1200.0,3.0,200.0,3.0
Kanakpura Road,3 BHK,1300.0,3.0,69.0,3.0
Yelahanka,2 BHK,1330.0,2.0,93.65,2.0
Kaggalipura,3 BHK,1210.0,2.0,65.0,3.0
Chikkalasandra,3 BHK,1350.0,2.0,54.2,3.0
Kaval Byrasandra,3 BHK,1900.0,2.0,65.0,3.0
Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3.0
Doddanakundi Industrial Area 2,3 BHK,1410.0,3.0,90.0,3.0
Narayanapura,2 BHK,1469.0,2.0,99.14,2.0
Varthur,2 BHK,986.0,2.0,30.0,2.0
RBI Layout,3 BHK,1460.0,2.0,87.0,3.0
Chandra Layout,3 BHK,1260.0,2.0,85.05,3.0
Chandapura,3 BHK,1345.0,2.0,39.5,3.0
Panathur,2 BHK,980.0,2.0,57.0,2.0
Kudlu Gate,2 BHK,1164.0,2.0,75.0,2.0
Subramanyapura,2 BHK,929.0,1.0,51.0,2.0
Kundalahalli,2 BHK,1065.0,2.0,70.0,2.0
Budigere,2 BHK,1172.0,2.0,56.725,2.0
Lakshmiamma Garden,3 BHK,3000.0,3.0,265.0,3.0
Electronic City,2 BHK,1020.0,2.0,30.27,2.0
Gunjur,3 BHK,1362.0,3.0,62.63,3.0
Yeshwanthpur,1 BHK,672.0,1.0,36.85,1.0
Brookefield,3 BHK,1746.0,3.0,115.0,3.0
Electronic City,2 BHK,1025.0,2.0,29.6,2.0
Harlur,2 BHK,1532.0,2.0,65.0,2.0
Guni Agrahara,3 BHK,1200.0,2.0,120.0,3.0
Ganga Nagar,2 BHK,1250.0,2.0,65.0,2.0
Thanisandra,2 BHK,1188.0,2.0,39.0,2.0
Whitefield,4 Bedroom,3565.0,4.0,218.0,4.0
Marathahalli,2 BHK,1170.0,2.0,85.0,2.0
BEL Road,3 BHK,1800.0,3.0,150.0,3.0
Madavara,2 Bedroom,1000.0,2.0,35.0,2.0
Cooke Town,3 Bedroom,2600.0,3.0,375.0,3.0
Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5.0
Kasturi Nagar,4 BHK,2507.0,4.0,155.0,4.0
Babusapalaya,2 BHK,1061.0,2.0,34.0,2.0
KR Puram,2 BHK,1290.0,2.0,69.0,2.0
Sarjapur,2 BHK,1200.0,2.0,42.6,2.0
Bharathi Nagar,2 BHK,1120.0,2.0,39.29,2.0
Electronic City,1 BHK,418.0,1.0,12.0,1.0
Sarjapur,3 BHK,1333.0,3.0,50.0,3.0
Sarjapur  Road,3 BHK,1691.0,3.0,119.0,3.0
Thanisandra,1 BHK,747.0,1.0,34.355,1.0
Koramangala,3 BHK,1700.0,3.0,250.0,3.0
Thanisandra,3 BHK,2030.0,4.0,125.0,3.0
Balagere,2 BHK,1012.0,2.0,70.0,2.0
Kudlu,3 BHK,1245.0,2.0,60.0,3.0
7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3.0
Gottigere,2 BHK,1110.0,2.0,36.25,2.0
Akash Nagar,2 BHK,967.0,2.0,47.8,2.0
Sarjapur,2 BHK,1044.0,2.0,36.0,2.0
Brookefield,3 BHK,1518.0,3.0,80.0,3.0
KR Puram,3 BHK,1300.0,2.0,57.0,3.0
Seetharampalya,3 BHK,1798.0,3.0,73.0,3.0
KR Puram,2 BHK,866.28,2.0,36.38,2.0
Whitefield,4 BHK,3410.0,5.0,253.0,4.0
Singasandra,2 BHK,1179.0,2.0,56.0,2.0
Rajaji Nagar,5 BHK,3600.0,5.0,510.0,5.0
Uttarahalli,2 BHK,1125.0,2.0,48.0,2.0
Cambridge Layout,3 BHK,2098.0,3.0,210.0,3.0
3rd Phase JP Nagar,3 BHK,2400.0,3.0,270.0,3.0
Haralur Road,3 BHK,1976.0,3.0,92.0,3.0
5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2.0
cooketown,3 BHK,1800.0,3.0,192.0,3.0
Jakkur,3 BHK,1761.0,3.0,84.52,3.0
Cooke Town,3 BHK,1700.0,3.0,120.0,3.0
Ramamurthy Nagar,4 Bedroom,900.0,4.0,70.0,4.0
Electronic City,2 BHK,1128.0,2.0,64.8,2.0
5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3.0
Electronic City,3 BHK,1220.0,2.0,35.25,3.0
Shauhardha Layout,1 BHK,509.0,1.0,20.0,1.0
Ambedkar Nagar,3 BHK,1852.0,4.0,122.0,3.0
Varthur,2 BHK,1045.0,2.0,40.65,2.0
Kaverappa Layout,4 BHK,3535.0,4.0,215.0,4.0
Marathahalli,2 BHK,1102.0,2.0,53.67,2.0
Omkar Nagar,4 BHK,1800.0,3.0,82.0,4.0
Hebbal Kempapura,3 BHK,1436.0,2.0,75.0,3.0
Chikkadunnasandra,3 BHK,1397.0,2.0,52.0,3.0
Kothanur,2 BHK,1140.0,2.0,56.0,2.0
Balagere,1 BHK,645.0,1.0,55.0,1.0
Bank Of Baroda Colony,5 Bedroom,2350.0,5.0,325.0,5.0
Nagarbhavi,3 Bedroom,1200.0,3.0,225.0,3.0
Bhoopsandra,3 BHK,2050.0,3.0,135.0,3.0
Sarjapur  Road,2 BHK,1335.0,2.0,95.0,2.0
Thirumenahalli,2 Bedroom,2100.0,1.0,200.0,2.0
Hebbal,3 BHK,1255.0,3.0,77.68,3.0
Thanisandra,2 BHK,1140.0,2.0,59.0,2.0
Hosakerehalli,3 BHK,2376.0,3.0,240.0,3.0
Thanisandra,1 BHK,663.0,1.0,46.0,1.0
Victoria Layout,2 BHK,1276.0,2.0,146.0,2.0
Kanakpura Road,3 BHK,1450.0,3.0,60.9,3.0
Kodichikkanahalli,3 BHK,1400.0,3.0,66.0,3.0
Divya Unnathi Layout,2 BHK,1339.0,2.0,53.56,2.0
Electronic City,3 BHK,1220.0,2.0,35.23,3.0
Malleshwaram,3 BHK,2200.0,3.0,275.0,3.0
Harohalli,2 BHK,1305.0,2.0,52.0,2.0
Green Glen Layout,3 BHK,1740.0,3.0,80.0,3.0
Anekal,2 BHK,680.0,1.0,21.0,2.0
Bannerghatta Road,2 BHK,1154.0,2.0,47.0,2.0
Munnekollal,2 BHK,1200.0,2.0,40.0,2.0
Hennur,2 BHK,1155.0,2.0,54.5,2.0
Sarjapur  Road,3 BHK,1525.0,2.0,63.0,3.0
Giri Nagar,1 Bedroom,600.0,1.0,125.0,1.0
Hebbal,4 BHK,2470.0,5.0,192.0,4.0
Padmanabhanagar,2 BHK,1100.0,2.0,60.0,2.0
Hormavu,2 BHK,1250.0,2.0,65.0,2.0
Kothanur,2 BHK,1400.0,2.0,70.0,2.0
Ittamadu,3 BHK,1600.0,3.0,100.0,3.0
Electronic City,2 BHK,1060.0,2.0,55.0,2.0
Horamavu Banaswadi,2 BHK,1272.0,2.0,50.0,2.0
Kanakpura Road,2 BHK,1296.0,2.0,105.0,2.0
Dollars Colony,4 BHK,2100.0,3.0,280.0,4.0
Karuna Nagar,3 BHK,1945.0,3.0,115.0,3.0
Chandapura,3 BHK,1033.0,2.0,30.47,3.0
Stage-4 Bommanahalli,3 BHK,2300.0,2.0,69.0,3.0
Gunjur Palya,2 BHK,1235.0,2.0,52.76,2.0
3rd Block Koramangala,3 BHK,2100.0,3.0,270.0,3.0
2nd Phase JP Nagar,2 BHK,850.0,2.0,42.5,2.0
Subramanyapura,3 BHK,1880.0,3.0,110.0,3.0
1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4.0
Kenchenahalli,2 BHK,1060.0,2.0,52.0,2.0
Hennur Road,3 BHK,2041.0,3.0,138.0,3.0
Hulimavu,2 Bedroom,1050.0,2.0,125.0,2.0
Vasanthapura,2 BHK,1037.0,2.0,36.28,2.0
"Electronic city phase 1, ",2 BHK,1150.0,2.0,39.0,2.0
LB Shastri Nagar,2 BHK,1184.0,2.0,62.0,2.0
Sarjapur  Road,3 BHK,1680.0,3.0,126.0,3.0
Thanisandra,3 BHK,1411.0,3.0,100.0,3.0
Hosa Road,5 Bedroom,900.0,5.0,55.0,5.0
Kanakpura Road,2 BHK,900.0,2.0,41.0,2.0
Jakkur Plantation,4 BHK,3500.0,4.0,320.0,4.0
Thanisandra,3 BHK,1702.0,3.0,120.0,3.0
Yelahanka,2 BHK,1185.0,2.0,45.0,2.0
Kanakpura Road,3 BHK,1300.0,3.0,64.0,3.0
Lavakusha Nagar,3 BHK,1545.0,3.0,65.0,3.0
6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3.0
Jigani,3 BHK,1300.0,3.0,55.0,3.0
JP Nagar,2 BHK,1107.0,2.0,57.0,2.0
Old Madras Road,3 BHK,1720.0,3.0,106.0,3.0
Kuvempu Nagar,3 BHK,1540.0,3.0,150.0,3.0
Bannerghatta Road,2 BHK,1000.0,2.0,44.5,2.0
Electronic City,1 BHK,710.0,1.0,40.42,1.0
Thanisandra,2 BHK,1100.0,2.0,38.0,2.0
Sri Balaji Krupa Layout,4 Bedroom,3200.0,4.0,270.0,4.0
Domlur Layout,2 Bedroom,900.0,2.0,160.0,2.0
Bannerghatta Road,2 BHK,1250.0,2.0,48.0,2.0
Kaggadasapura,5 Bedroom,2400.0,4.0,130.0,5.0
Hegde Nagar,3 BHK,1584.01,3.0,104.0,3.0
Vasanth nagar,4 Bedroom,875.0,4.0,150.0,4.0
Kammasandra,4 Bedroom,1200.0,6.0,60.0,4.0
Kaggadasapura,3 BHK,1485.0,2.0,70.0,3.0
Hennur Road,3 BHK,1100.0,2.0,78.0,3.0
8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2.0
Hennur Road,4 Bedroom,1880.0,4.0,154.0,4.0
Frazer Town,3 BHK,2214.0,3.0,350.0,3.0
Anathanagar,2 BHK,1050.0,2.0,45.0,2.0
Vishveshwarya Layout,4 Bedroom,600.0,4.0,95.0,4.0
Bannerghatta Road,3 BHK,1640.0,3.0,105.0,3.0
Basavanapura,2 BHK,1165.0,2.0,65.0,2.0
Kengeri Satellite Town,2 BHK,1110.0,2.0,43.0,2.0
vinayakanagar,7 BHK,1200.0,5.0,200.0,7.0
St. John's Road,4 BHK,4000.0,4.0,630.0,4.0
Uttarahalli,4 Bedroom,4500.0,4.0,150.0,4.0
Jaraganahalli Jp Nagar Post,4 Bedroom,600.0,4.0,65.0,4.0
Haralur Road,2 BHK,1300.0,2.0,75.0,2.0
adigondanhalli,2 Bedroom,1200.0,1.0,42.0,2.0
Hennur Road,2 BHK,1232.0,2.0,69.61,2.0
Jalahalli,3 BHK,1704.0,3.0,94.36,3.0
7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3.0
Sarjapur  Road,3 BHK,1222.0,2.0,68.0,3.0
Varthur,2 BHK,1155.0,2.0,39.0,2.0
Electronic City,2 BHK,1000.0,2.0,29.95,2.0
Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2.0
Yelahanka,3 BHK,1517.0,3.0,71.28,3.0
Horamavu Agara,2 BHK,1166.0,2.0,37.29,2.0
Electronic City,2 BHK,870.0,2.0,24.0,2.0
5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5.0
Rajaji Nagar,4 Bedroom,1350.0,4.0,230.0,4.0
Yelahanka,4 BHK,3019.0,6.0,190.0,4.0
Whitefield,3 BHK,1345.0,3.0,58.0,3.0
Dommasandra,3 Bedroom,900.0,3.0,75.0,3.0
EPIP Zone,4 BHK,3800.0,5.0,170.0,4.0
Chandapura,3 BHK,971.0,2.0,38.0,3.0
Hennur,2 BHK,1255.0,2.0,52.32,2.0
EPIP Zone,2 BHK,1810.0,2.0,65.0,2.0
"Whitefield, ",2 BHK,1300.0,2.0,58.0,2.0
Thanisandra,2 BHK,1185.0,2.0,45.0,2.0
Pattandur Agrahara,2 BHK,1350.0,2.0,68.0,2.0
Budigere,3 BHK,1590.0,3.0,76.16,3.0
Thyagaraja Nagar,7 BHK,3000.0,6.0,180.0,7.0
Brookefield,4 Bedroom,1560.0,3.0,149.0,4.0
Somasundara Palya,3 BHK,1650.0,3.0,126.0,3.0
Off Bannergatta Road,3 BHK,1645.0,3.0,87.0,3.0
Hennur Road,3 BHK,1748.0,3.0,103.0,3.0
Channasandra,3 Bedroom,1200.0,3.0,67.77,3.0
Kengeri Satellite Town,2 BHK,1170.0,2.0,50.0,2.0
Sarjapur  Road,4 BHK,3420.0,4.0,225.0,4.0
Hulimavu,3 BHK,1320.0,2.0,65.0,3.0
Bhoganhalli,3 BHK,1610.0,3.0,84.53,3.0
Frazer Town,3 BHK,1870.0,3.0,180.0,3.0
Sarjapur  Road,3 BHK,1510.0,2.0,110.0,3.0
Kammagondahalli,6 Bedroom,2700.0,7.0,110.0,6.0
Kanakapura  Rod,3 BHK,1305.0,2.0,45.68,3.0
Mahadevpura,3 BHK,1500.0,2.0,70.0,3.0
Indira Nagar,2 BHK,1149.0,2.0,130.0,2.0
Thanisandra,4 BHK,1948.0,4.0,129.0,4.0
Margondanahalli,3 Bedroom,1448.0,3.0,70.0,3.0
Sarjapur  Road,2 BHK,1242.0,2.0,78.0,2.0
Sonnenahalli,2 BHK,1268.0,2.0,58.0,2.0
Ramamurthy Nagar,2 BHK,1101.0,2.0,50.0,2.0
Kallumantapa,2 BHK,1255.0,2.0,65.0,2.0
Gunjur,3 BHK,1362.0,3.0,62.63,3.0
Sarjapur  Road,3 BHK,984.0,3.0,140.0,3.0
Hosa Road,2 BHK,1089.0,2.0,32.67,2.0
Byrathi Village,2 BHK,800.0,1.0,95.0,2.0
Uttarahalli,3 BHK,1345.0,2.0,57.0,3.0
Thanisandra,8 Bedroom,3600.0,9.0,125.0,8.0
Krishna Nagar,4 Bedroom,1650.0,2.0,140.0,4.0
Kaggalipura,2 BHK,950.0,2.0,45.0,2.0
HBR Layout,2 BHK,1068.0,2.0,43.0,2.0
Yelahanka New Town,2 BHK,860.0,1.0,31.0,2.0
Kengeri,8 Bedroom,3000.0,5.0,130.0,8.0
Yelahanka,3 BHK,1756.0,3.0,66.73,3.0
Whitefield,2 BHK,1205.0,2.0,41.0,2.0
Hoodi,8 Bedroom,1120.0,8.0,155.0,8.0
Banashankari,3 BHK,1800.0,3.0,125.0,3.0
Ashok Nagar,4 BHK,8321.0,5.0,2912.0,4.0
Hormavu,3 BHK,1604.0,3.0,68.0,3.0
Old Airport Road,4 BHK,2732.0,4.0,204.0,4.0
Chandapura,2 BHK,1015.0,2.0,25.88,2.0
Banashankari,3 BHK,1200.0,2.0,42.0,3.0
Ananth Nagar,2 BHK,1010.0,2.0,38.0,2.0
Nagarbhavi,2 Bedroom,1250.0,3.0,170.0,2.0
Doddakallasandra,2 BHK,1010.0,2.0,41.0,2.0
Yelahanka,2 BHK,1050.0,2.0,33.1,2.0
Harlur,3 BHK,1710.0,3.0,85.0,3.0
Mysore Road,3 BHK,1248.52,3.0,115.0,3.0
Attibele,1 BHK,410.0,1.0,10.0,1.0
Bannerghatta Road,3 BHK,1656.0,2.0,62.93,3.0
Naganathapura,3 BHK,1451.0,3.0,68.0,3.0
Giri Nagar,6 BHK,1200.0,3.0,175.0,6.0
JP Nagar,2 BHK,1250.0,2.0,93.0,2.0
Meenakunte,3 Bedroom,4395.0,3.0,240.0,3.0
Hebbal,4 BHK,4600.0,6.0,650.0,4.0
Sonnenahalli,3 BHK,1340.0,2.0,42.0,3.0
Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.5,2.0
Whitefield,4 BHK,6000.0,6.0,700.0,4.0
 Devarachikkanahalli,3 BHK,1700.0,3.0,71.0,3.0
Yelahanka,6 Bedroom,1200.0,5.0,150.0,6.0
KR Puram,2 BHK,1096.0,2.0,43.0,2.0
Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2.0
"Sarjapur Road, ",3 BHK,1936.0,3.0,139.0,3.0
Nehru Nagar,3 BHK,1269.0,2.0,63.0,3.0
Richmond Road,3 BHK,3500.0,3.0,630.0,3.0
Panathur,3 BHK,1586.0,3.0,125.0,3.0
Rajaji Nagar,2 BHK,1376.0,2.0,124.0,2.0
Kanakpura Road,3 BHK,1452.0,3.0,56.5,3.0
Hosa Road,3 BHK,1538.0,3.0,107.0,3.0
Hosur Road,3 BHK,1427.0,2.0,130.0,3.0
Upadhyaya Layout,2 BHK,935.0,2.0,40.0,2.0
Ashwath Nagar,2 BHK,1220.0,2.0,65.0,2.0
Harlur,2 BHK,1197.0,2.0,77.0,2.0
Varthur,2 BHK,674.0,1.0,19.9,2.0
Kengeri,1 BHK,410.0,1.0,15.0,1.0
Thanisandra,3 BHK,1573.0,3.0,90.0,3.0
Dodda Nekkundi,2 BHK,1135.0,2.0,58.0,2.0
Huskur,3 BHK,1400.0,2.0,40.43,3.0
Agrahara Dasarahalli,1 BHK,1200.0,1.0,65.0,1.0
Ittamadu,3 Bedroom,1800.0,3.0,95.0,3.0
Avalahalli,3 BHK,2045.0,3.0,108.0,3.0
Sonnenahalli,2 BHK,1268.0,2.0,56.0,2.0
Kambipura,2 BHK,883.0,2.0,39.0,2.0
Yelahanka,3 BHK,1600.0,3.0,100.0,3.0
Thanisandra,2 BHK,1056.0,2.0,70.0,2.0
Jigani,10 Bedroom,1200.0,11.0,105.0,10.0
Whitefield,4 Bedroom,4500.0,4.0,330.0,4.0
KR Puram,2 BHK,1204.0,2.0,58.0,2.0
Tejaswini Nagar,3 BHK,1410.0,2.0,54.0,3.0
Hennur Road,2 BHK,1460.0,2.0,80.3,2.0
Dodda Nekkundi,2 BHK,1100.0,2.0,41.18,2.0
Govindapura,2 BHK,1310.0,2.0,88.0,2.0
Sector 2 HSR Layout,3 BHK,1600.0,3.0,90.0,3.0
Lottegolla Halli,2 BHK,1250.0,2.0,55.0,2.0
Sarjapur  Road,3 BHK,1665.0,3.0,74.93,3.0
Uttarahalli,3 BHK,1345.0,2.0,57.0,3.0
Hosahalli Extension,5 Bedroom,2000.0,5.0,240.0,5.0
Singasandra,2 BHK,1416.0,2.0,67.0,2.0
HSR Layout,2 BHK,1145.0,2.0,46.0,2.0
Munnekollal,10 Bedroom,7200.0,10.0,200.0,10.0
Jigani,3 BHK,1231.0,3.0,58.0,3.0
Yelahanka,3 BHK,1664.0,3.0,73.95,3.0
TC Palaya,3 Bedroom,2000.0,3.0,76.0,3.0
Rajiv Nagar,2 BHK,972.0,2.0,43.0,2.0
3rd Phase JP Nagar,4 BHK,4500.0,4.0,345.0,4.0
Bellandur,2 BHK,1185.0,2.0,47.39,2.0
Green Glen Layout,3 BHK,1750.0,3.0,81.0,3.0
Byadarahalli,3 BHK,3155.0,4.0,316.0,3.0
Balagere,2 BHK,1007.0,2.0,68.0,2.0
Rajaji Nagar,3 BHK,1700.0,3.0,200.0,3.0
Whitefield,2 BHK,1250.0,2.0,85.0,2.0
Telecom Layout,2 BHK,1200.0,2.0,54.0,2.0
Horamavu Agara,2 BHK,994.0,2.0,42.28,2.0
Ramamurthy Nagar,2 BHK,1150.0,2.0,40.0,2.0
Thanisandra,2 BHK,1220.0,2.0,46.0,2.0
Hennur Gardens,2 BHK,1441.0,2.0,115.0,2.0
Old Madras Road,2 BHK,1157.0,2.0,47.32,2.0
RPC layout,6 BHK,1300.0,6.0,150.0,6.0
Thigalarapalya,2 BHK,1400.0,2.0,105.0,2.0
Tindlu,3 BHK,1370.07,3.0,65.0,3.0
Magadi Road,5 Bedroom,1200.0,4.0,130.0,5.0
Judicial Layout,2 BHK,900.0,2.0,40.0,2.0
Kodipalya,1 BHK,418.0,1.0,17.0,1.0
Vishwapriya Nagar,3 Bedroom,1200.0,3.0,80.0,3.0
ISRO Layout,2 BHK,1200.0,2.0,43.0,2.0
Talaghattapura,2 BHK,1062.0,2.0,42.48,2.0
Kanakpura Road,2 BHK,1120.0,2.0,51.0,2.0
Bannerghatta Road,2 BHK,1012.0,2.0,44.0,2.0
Postal Colony,3 Bedroom,1500.0,2.0,200.0,3.0
ISRO Layout,4 Bedroom,950.0,4.0,180.0,4.0
Kadabagere,2 BHK,675.0,2.0,13.5,2.0
Kanakpura Road,2 BHK,1430.0,2.0,78.0,2.0
Channasandra,3 BHK,1195.0,2.0,56.0,3.0
Old Madras Road,3 BHK,2640.0,5.0,150.0,3.0
Bisuvanahalli,3 BHK,1075.0,2.0,42.0,3.0
Hennur Road,3 BHK,1570.0,3.0,75.99,3.0
Kammanahalli,6 Bedroom,782.0,4.0,85.0,6.0
Sonnenahalli,2 BHK,1011.0,2.0,59.0,2.0
7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3.0
Sarjapur  Road,2 BHK,1129.0,2.0,69.0,2.0
Sarjapura - Attibele Road,2 BHK,1126.0,2.0,36.0,2.0
Attibele,3 Bedroom,1200.0,3.0,110.0,3.0
Sarjapur  Road,3 BHK,1180.0,2.0,45.0,3.0
1st Block HRBR Layout,3 Bedroom,600.0,4.0,125.0,3.0
Bannerghatta,4 Bedroom,940.0,4.0,45.0,4.0
Hennur Road,3 BHK,1933.0,3.0,140.0,3.0
TC Palaya,2 BHK,1082.0,2.0,64.0,2.0
LB Shastri Nagar,8 Bedroom,2400.0,8.0,250.0,8.0
Anwar Layout,1 BHK,610.0,1.0,28.0,1.0
Raja Rajeshwari Nagar,4 Bedroom,1560.0,4.0,160.0,4.0
Kathriguppe,3 BHK,1300.0,3.0,77.99,3.0
Kudlu Gate,4 Bedroom,3850.0,6.0,205.0,4.0
CV Raman Nagar,2 BHK,1125.0,2.0,46.0,2.0
Bileshivale,6 Bedroom,2400.0,7.0,107.0,6.0
Kengeri Satellite Town,2 BHK,777.4,2.0,25.0,2.0
Battarahalli,4 BHK,2500.0,3.0,65.0,4.0
Old Airport Road,3 BHK,1798.0,3.0,150.0,3.0
Dodda Nekkundi Extension,3 BHK,1864.0,3.0,120.0,3.0
Whitefield,2 BHK,1115.0,2.0,51.91,2.0
Kengeri,1 BHK,400.0,1.0,25.0,1.0
Rajaji Nagar,2 BHK,1200.0,2.0,70.0,2.0
Ananth Nagar,2 BHK,992.0,2.0,24.8,2.0
Jakkasandra Extension,2 BHK,950.0,2.0,57.0,2.0
R.T. Nagar,4 Bedroom,1500.0,4.0,185.0,4.0
Bellandur,2 BHK,1200.0,2.0,62.0,2.0
GM Palaya,3 BHK,1735.0,3.0,70.0,3.0
BTM 2nd Stage,3 BHK,1750.0,3.0,172.0,3.0
HSR Layout,2 BHK,1009.0,2.0,56.0,2.0
Jalahalli,3 BHK,1470.0,2.0,102.0,3.0
Bannerghatta Road,3 BHK,1527.0,3.0,115.0,3.0
Singapura Village,2 BHK,985.0,2.0,45.0,2.0
Chandapura,4 Bedroom,3300.0,4.0,135.0,4.0
Whitefield,2 BHK,1277.0,2.0,77.0,2.0
Nallurhalli,2 BHK,1100.0,2.0,62.0,2.0
Whitefield,3 BHK,1820.0,3.0,140.0,3.0
Puttanahalli,4 BHK,1530.0,3.0,87.0,4.0
Banashankari,3 BHK,1886.0,3.0,205.0,3.0
Chandra Layout,3 Bedroom,1200.0,2.0,190.0,3.0
Jakkur,3 BHK,1880.0,4.0,110.0,3.0
Hennur,2 BHK,1255.0,2.0,52.35,2.0
Kanakpura Road,2 BHK,700.0,2.0,36.0,2.0
Somasundara Palya,2 BHK,1140.0,2.0,46.0,2.0
Electronic City Phase II,2 BHK,1025.0,2.0,29.6,2.0
Whitefield,4 Bedroom,3453.0,4.0,247.0,4.0
Uttarahalli,3 BHK,1490.0,2.0,59.6,3.0
Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4.0
Sarjapur  Road,3 BHK,1850.0,3.0,140.0,3.0
Kaikondrahalli,2 BHK,1250.0,2.0,78.0,2.0
Kamakya Layout,4 BHK,2400.0,3.0,108.0,4.0
Kodihalli,4 BHK,3522.0,5.0,716.0,4.0
Jalahalli,2 BHK,1244.0,2.0,88.0,2.0
Kumaraswami Layout,4 Bedroom,623.0,4.0,75.0,4.0
Kengeri Satellite Town,2 BHK,1025.0,2.0,28.57,2.0
Sarjapur  Road,2 BHK,1034.0,2.0,38.0,2.0
Kengeri Satellite Town,3 BHK,1191.0,2.0,33.34,3.0
Kasavanhalli,3 BHK,1719.0,3.0,71.0,3.0
7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2.0
2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4.0
Hosa Road,3 BHK,1470.0,2.0,84.22,3.0
Yelahanka,2 BHK,1140.0,2.0,50.66,2.0
Harlur,3 BHK,1752.12,3.0,125.0,3.0
BTM 1st Stage,6 Bedroom,600.0,6.0,80.0,6.0
2nd Stage Nagarbhavi,4 Bedroom,600.0,3.0,84.0,4.0
Old Madras Road,3 BHK,2990.0,3.0,170.0,3.0
Bannerghatta Road,3 BHK,1660.0,3.0,85.0,3.0
Electronic City,3 BHK,1275.0,3.0,63.43,3.0
Bommasandra Industrial Area,3 BHK,1365.0,3.0,52.81,3.0
"MEI layout, Bagalgunte",3 Bedroom,1200.0,2.0,90.0,3.0
Kanakpura Road,3 BHK,2546.0,3.0,170.0,3.0
Banashankari Stage VI,3 BHK,1392.0,3.0,69.46,3.0
Whitefield,2 BHK,1245.0,2.0,59.76,2.0
Rayasandra,5 Bedroom,1200.0,3.0,65.0,5.0
Yeshwanthpur,2 BHK,1162.0,2.0,64.08,2.0
Singasandra,3 BHK,1476.0,2.0,73.0,3.0
KR Puram,1 BHK,700.0,1.0,21.5,1.0
